City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hithadhoo,MV,-0.6,73.0833,27.96,78,100,5.35,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,9.0,61,75,5.14,broken clouds
Dharchula,IN,29.85,80.5333,11.98,47,97,1.34,overcast clouds
Albany,US,42.6001,-73.9662,-3.33,64,27,1.19,scattered clouds
Kloulklubed,PW,7.0419,134.2556,30.0,70,75,4.63,broken clouds
Victoria,HK,22.2855,114.1577,23.89,49,20,3.6,few clouds
Georgetown,MY,5.4112,100.3354,31.0,54,20,1.54,few clouds
Kodiak,US,57.79,-152.4072,-4.0,80,1,3.6,clear sky
Atuona,PF,-9.8,-139.0333,25.98,74,3,4.84,clear sky
Bubaque,GW,11.2833,-15.8333,24.91,68,75,7.38,broken clouds
Cidreira,BR,-30.1811,-50.2056,20.21,76,1,7.25,clear sky
Kaitangata,NZ,-46.2817,169.8464,15.0,71,77,6.71,broken clouds
Bathsheba,BB,13.2167,-59.5167,26.0,65,40,8.23,scattered clouds
Jamestown,US,42.097,-79.2353,2.22,35,90,5.66,overcast clouds
Buritis,BR,-15.6178,-46.4233,21.9,84,84,0.93,broken clouds
Souillac,MU,-20.5167,57.5167,25.0,83,40,1.03,scattered clouds
Kathu,TH,7.9178,98.3332,29.0,65,20,5.66,few clouds
Neiafu,TO,-18.65,-173.9833,27.0,94,75,3.6,light rain
Bluff,NZ,-46.6,168.3333,14.65,73,87,5.12,overcast clouds
Chuy,UY,-33.6971,-53.4616,18.25,78,89,6.1,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,1.29,95,100,6.39,overcast clouds
Portland,US,45.5234,-122.6762,7.78,89,89,1.34,overcast clouds
Ketchikan,US,55.3422,-131.6461,4.0,100,75,4.63,light rain
Avarua,CK,-21.2078,-159.775,29.0,70,20,2.06,few clouds
Butaritari,KI,3.0707,172.7902,27.13,83,97,6.16,light rain
Kapaa,US,22.0752,-159.319,20.0,60,75,5.66,broken clouds
Vaini,TO,-21.2,-175.2,27.0,94,75,2.57,light rain
Bredasdorp,ZA,-34.5322,20.0403,16.0,88,5,0.51,clear sky
Ribeira Grande,PT,38.5167,-28.7,12.9,68,51,8.52,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,26.0,73,0,8.75,clear sky
Marrakesh,MA,31.6315,-8.0083,9.0,100,75,4.63,drizzle
Kushima,JP,31.4583,131.2333,13.0,44,75,2.57,broken clouds
Hobart,AU,-42.8794,147.3294,26.11,73,75,6.69,light rain
Port Alfred,ZA,-33.5906,26.891,20.0,86,65,1.34,broken clouds
Santa Maria,BR,-29.6842,-53.8069,18.0,100,0,2.11,clear sky
Rantepao,ID,-2.9701,119.8978,29.06,55,64,1.13,broken clouds
Bahawalpur,PK,29.4,71.6833,17.36,41,0,1.64,clear sky
Sur,OM,22.5667,59.5289,21.03,56,0,0.36,clear sky
New Norfolk,AU,-42.7826,147.0587,26.11,75,100,0.89,light rain
Busselton,AU,-33.65,115.3333,23.33,41,1,0.45,clear sky
Rikitea,PF,-23.1203,-134.9692,26.06,69,100,5.35,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,-10.5,85,74,4.42,broken clouds
Isabela,PH,6.7085,121.9711,31.0,62,20,4.12,few clouds
Yenagoa,NG,4.9247,6.2642,25.26,91,0,0.61,clear sky
Saldanha,ZA,-33.0117,17.9442,15.0,82,0,1.54,clear sky
Macenta,GN,8.5435,-9.471,19.7,96,24,1.12,light rain
Yellowknife,CA,62.456,-114.3525,-35.0,75,1,3.09,clear sky
Dingle,PH,10.9995,122.6711,28.3,79,83,6.91,light rain
Mangrol,IN,21.1167,70.1167,21.37,38,0,5.27,clear sky
Bodden Town,KY,19.2833,-81.25,24.44,78,20,3.09,few clouds
Yebaishou,CN,41.3975,119.6408,4.19,63,1,3.38,clear sky
Carnarvon,AU,-24.8667,113.6333,28.0,71,75,8.75,broken clouds
Cape Town,ZA,-33.9258,18.4232,19.44,88,0,4.63,clear sky
Mataura,NZ,-46.1927,168.8643,24.13,39,81,0.82,broken clouds
Dikson,RU,73.5069,80.5464,-25.7,88,99,4.69,overcast clouds
Esperance,AU,-33.8667,121.9,18.0,52,90,6.69,overcast clouds
Mathbaria,BD,22.2876,89.9593,25.18,31,0,2.13,clear sky
Saint George,US,37.1041,-113.5841,8.0,29,1,2.06,clear sky
Hasaki,JP,35.7333,140.8333,10.0,34,20,2.57,few clouds
Iqaluit,CA,63.7506,-68.5145,-10.0,79,90,3.6,snow
Kargasok,RU,59.0556,80.8572,-18.25,93,94,2.54,overcast clouds
Avera,US,33.194,-82.5271,10.0,49,1,3.09,clear sky
Can,TR,40.0333,27.0524,7.0,100,0,1.03,clear sky
Qaanaaq,GL,77.484,-69.3632,-27.57,64,69,3.53,broken clouds
La Ronge,CA,55.1001,-105.2842,-18.0,71,100,5.14,overcast clouds
Rorvik,NO,64.8621,11.2373,-3.51,90,0,3.66,clear sky
Naze,JP,28.3667,129.4833,21.0,49,40,3.09,scattered clouds
Luanda,AO,-8.8368,13.2343,26.0,83,75,1.54,light rain
Catuday,PH,16.2923,119.8062,27.18,63,35,2.89,scattered clouds
Lindas,NO,60.7381,5.16,-7.22,56,32,1.79,scattered clouds
Faanui,PF,-16.4833,-151.75,27.93,65,13,2.43,few clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,25.0,31,0,6.69,clear sky
Nanortalik,GL,60.1432,-45.2371,-6.04,77,100,3.49,overcast clouds
Bethel,US,41.3712,-73.414,-3.89,86,1,0.97,clear sky
Ahipara,NZ,-35.1667,173.1667,20.39,70,100,3.11,overcast clouds
Hermanus,ZA,-34.4187,19.2345,17.78,91,8,2.93,clear sky
Buchanan,LR,5.8808,-10.0467,24.0,94,20,2.47,light rain
Jabbeke,BE,51.185,3.095,7.22,87,75,2.57,broken clouds
Pangoa,PE,-12.1167,-73.0,21.25,94,100,0.7,overcast clouds
Kenai,US,60.5544,-151.2583,-7.78,79,90,4.12,overcast clouds
Arman,RU,59.7,150.1667,-18.08,82,83,6.15,broken clouds
Ponnani,IN,10.767,75.9252,26.0,65,20,2.57,haze
Mount Gambier,AU,-37.8333,140.7667,21.0,40,40,8.23,scattered clouds
Okhotsk,RU,59.3833,143.3,-15.71,88,93,4.8,overcast clouds
Waipawa,NZ,-41.4122,175.5153,15.0,77,90,8.75,overcast clouds
Leshukonskoye,RU,64.8989,45.7622,-17.38,92,100,4.62,light snow
Hilo,US,19.7297,-155.09,22.0,73,75,7.2,broken clouds
Kavaratti,IN,10.5669,72.642,27.33,75,69,5.42,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,28.33,69,75,4.63,light rain
San Cristobal,VE,7.7669,-72.225,20.78,67,79,0.55,broken clouds
Mizan Teferi,ET,6.9833,35.5833,18.82,50,58,1.19,broken clouds
Kiama,AU,-34.6833,150.8667,28.89,69,78,3.13,broken clouds
Pangnirtung,CA,66.1451,-65.7125,-14.26,87,98,1.79,overcast clouds
Ausa,ES,41.9271,2.2497,8.33,94,37,0.7,scattered clouds
Acajutla,SV,13.5928,-89.8275,23.54,71,9,2.8,clear sky
Biak,ID,-0.9131,122.8766,28.22,71,100,0.79,moderate rain
Beringovskiy,RU,63.05,179.3167,-18.59,92,100,3.99,overcast clouds
Kumluca,TR,36.3703,30.2869,15.47,39,0,2.19,clear sky
Salinopolis,BR,-0.6136,-47.3561,26.47,85,83,4.67,broken clouds
Reconquista,AR,-29.15,-59.65,18.07,70,1,1.93,clear sky
Price,US,39.5994,-110.8107,-3.0,54,1,4.12,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,25.0,95,12,0.89,few clouds
Ushuaia,AR,-54.8,-68.3,7.0,81,40,13.38,scattered clouds
Marzuq,YE,14.4,46.4667,14.42,46,0,1.6,clear sky
Isangel,VU,-19.55,169.2667,31.0,62,75,1.54,broken clouds
Fez,MA,34.0372,-4.9998,8.0,100,40,2.06,mist
Cabo San Lucas,MX,22.8909,-109.9124,23.0,46,20,3.09,few clouds
Morgan City,US,29.6994,-91.2068,18.33,88,90,5.14,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,19.48,56,52,10.53,broken clouds
Shingu,JP,33.7333,135.9833,11.0,40,0,4.63,clear sky
Bengkulu,ID,-3.8004,102.2655,29.73,60,33,2.47,scattered clouds
Digby,CA,44.6169,-65.7655,2.22,100,100,1.03,light snow
Barrow,US,71.2906,-156.7887,-31.0,62,90,4.63,haze
Vanimo,PG,-2.6741,141.3028,28.61,77,30,3.28,scattered clouds
Hofn,IS,64.2539,-15.2082,2.49,79,100,7.71,overcast clouds
Baiao,BR,-2.7906,-49.6717,23.55,95,11,1.46,few clouds
Adrar,MR,20.5022,-10.0711,18.02,26,57,2.1,broken clouds
Kavieng,PG,-2.5744,150.7967,28.75,71,88,0.86,light rain
Viru,PE,-8.4167,-78.75,23.14,62,93,1.33,overcast clouds
Clinton,US,42.587,-82.9199,1.11,100,90,9.77,snow
Fortuna,US,40.5982,-124.1573,8.33,87,1,1.94,clear sky
Guamuchil,MX,25.4667,-108.1,20.56,58,99,1.79,overcast clouds
Upernavik,GL,72.7868,-56.1549,-20.22,71,99,3.54,overcast clouds
Luang Prabang,LA,19.8856,102.1347,21.0,68,0,0.24,clear sky
Trelew,AR,-43.249,-65.3051,31.2,13,0,7.39,clear sky
Margate,GB,51.3813,1.3862,8.33,89,32,0.89,scattered clouds
Muros,ES,42.7762,-9.0603,7.22,94,90,3.12,overcast clouds
Ekhabi,RU,53.5102,142.9671,-22.83,88,100,10.28,overcast clouds
Arawa,PG,-6.2132,155.5367,30.12,70,49,2.11,moderate rain
Ruwi,OM,23.5996,58.5507,17.0,77,20,2.06,few clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,12.0,76,20,5.14,few clouds
Havoysund,NO,70.9963,24.6622,-2.0,86,75,5.14,snow
Port Blair,IN,11.6667,92.75,28.24,70,16,6.06,few clouds
Katsuura,JP,35.1333,140.3,9.0,43,20,3.09,few clouds
Yakeshi,CN,49.2833,120.7333,-13.74,94,100,4.62,overcast clouds
Norman Wells,CA,65.282,-126.8329,-41.0,66,40,3.09,scattered clouds
Yaan,NG,7.3833,8.5667,22.03,47,12,2.39,few clouds
Beldanga,IN,23.9333,88.25,23.79,31,0,0.65,clear sky
Ejura,GH,7.3856,-1.3562,24.82,80,1,2.39,clear sky
Eirunepe,BR,-6.6603,-69.8736,23.36,97,100,0.66,light rain
Oranjemund,NA,-28.55,16.4333,16.53,93,62,4.26,broken clouds
Kashi,CN,39.4547,75.9797,-1.0,51,0,4.0,clear sky
Touros,BR,-5.1989,-35.4608,26.0,78,20,4.12,few clouds
Barkhan,PK,29.8977,69.5256,11.29,38,0,1.53,clear sky
Atambua,ID,-9.1061,124.8925,25.33,85,100,1.21,overcast clouds
Aksu,CN,41.1231,80.2644,1.49,67,71,0.23,broken clouds
Nyurba,RU,63.2842,118.3319,-36.39,82,66,1.78,broken clouds
Strezhevoy,RU,60.7333,77.5889,-17.0,85,0,2.0,clear sky
Komsomolskiy,UZ,40.4272,71.7189,2.0,60,8,2.06,clear sky
Coquimbo,CL,-29.9533,-71.3436,16.0,82,90,3.09,overcast clouds
Taft,IR,31.7471,54.2088,5.0,28,20,3.09,few clouds
Asilah,MA,35.465,-6.0348,14.0,94,40,2.06,scattered clouds
Mackenzie,CA,55.2999,-123.1698,-9.0,100,90,1.03,light snow
San Patricio,US,28.017,-97.5169,21.0,83,1,3.6,clear sky
Sozimskiy,RU,59.7418,52.2482,-6.19,97,100,1.53,overcast clouds
Thompson,CA,55.7435,-97.8558,-24.0,77,90,3.6,light snow
Gazojak,TM,41.1875,61.4036,7.41,75,89,4.43,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,-3.0,80,75,5.14,broken clouds
Tazovskiy,RU,67.4667,78.7,-33.05,86,100,3.37,overcast clouds
Astana,KZ,51.1801,71.446,-3.0,86,90,4.0,light snow
Henties Bay,NA,-22.116,14.2845,18.89,83,13,0.89,few clouds
Hami,CN,42.8,93.45,2.13,71,0,1.3,clear sky
Saskylakh,RU,71.9167,114.0833,-35.91,81,85,0.32,overcast clouds
Sungairaya,ID,0.7,108.9,24.98,88,100,5.57,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,10.56,66,92,0.89,overcast clouds
Elizabeth City,US,36.2946,-76.2511,6.11,52,1,3.09,clear sky
Franklin,US,39.9667,-83.0166,2.22,93,90,7.72,light rain and snow
Saint-Joseph,RE,-21.3667,55.6167,28.33,69,75,4.63,light rain
Port Elizabeth,ZA,-33.918,25.5701,16.0,88,0,2.45,clear sky
Sirvintos,LT,55.05,24.95,-8.0,86,90,2.57,light snow
Lompoc,US,34.6391,-120.4579,11.0,82,1,2.06,clear sky
Northam,GB,51.0333,-4.2167,5.56,95,25,2.68,scattered clouds
Sindor,RU,62.8629,51.8905,-12.04,96,100,1.59,light snow
Orlik,RU,52.5178,99.825,-13.86,82,100,2.1,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,22.06,74,100,4.92,overcast clouds
Karaton,ID,-6.3424,106.1045,31.11,74,75,6.69,haze
Byron Bay,AU,-28.65,153.6167,29.0,61,1,4.63,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,-35.0,68,40,4.63,snow
Zhigansk,RU,66.7697,123.3711,-39.31,76,0,4.98,clear sky
Sept-Iles,CA,50.2001,-66.3821,-1.0,80,94,2.06,overcast clouds
Kizhinga,RU,51.8462,109.9097,-9.64,89,100,5.2,overcast clouds
Jalu,LY,29.0331,21.5482,10.04,88,0,1.5,clear sky
Yar-Sale,RU,66.8333,70.8333,-30.15,87,0,2.3,clear sky
Ewo,CG,-0.8725,14.8206,23.53,85,99,0.85,overcast clouds
Castro,BR,-24.7911,-50.0119,16.04,89,1,2.31,clear sky
Katangli,RU,51.7102,143.2326,-20.56,87,100,7.08,snow
Lagoa,PT,39.05,-27.9833,12.6,69,43,8.83,scattered clouds
Hailey,US,43.5196,-114.3153,-7.0,79,40,2.06,scattered clouds
Padang,ID,-0.9492,100.3543,31.0,62,20,2.06,few clouds
Samarinda,ID,-0.5,117.15,31.16,64,98,1.01,overcast clouds
Bahia Blanca,AR,-38.7196,-62.2724,21.0,38,0,3.99,clear sky
Kota Belud,MY,6.351,116.4305,30.0,74,20,2.06,few clouds
Nikolskoye,RU,59.7035,30.7861,-13.89,85,20,5.0,few clouds
Egvekinot,RU,66.3167,-179.1667,-29.3,90,100,7.39,snow
Namibe,AO,-15.1961,12.1522,20.9,77,20,3.99,few clouds
Cabedelo,BR,-6.9811,-34.8339,26.0,83,20,2.57,few clouds
Tumbes,PE,-3.5667,-80.4414,25.76,74,97,2.08,overcast clouds
Meulaboh,ID,4.1363,96.1285,29.98,60,22,0.27,few clouds
Smithers,CA,54.7804,-127.1743,-4.0,93,90,2.06,snow
Ingham,US,42.6,-84.3833,1.0,93,90,7.72,light rain
San Quintin,MX,30.4833,-115.95,13.68,77,51,4.22,broken clouds
Tiksi,RU,71.6872,128.8694,-26.22,90,100,4.38,overcast clouds
Bandundu,CD,-3.3167,17.3667,22.42,94,100,1.02,overcast clouds
Cordoba,AR,-31.4135,-64.1811,19.44,88,0,2.57,clear sky
Punta Cardon,VE,11.6581,-70.215,25.61,82,99,12.94,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,15.82,72,100,7.2,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,28.33,69,75,4.63,light rain
Caravelas,BR,-17.7125,-39.2481,24.7,85,0,3.33,clear sky
Andenes,NO,69.3143,16.1194,2.0,69,75,10.8,broken clouds
Muncie,US,40.1934,-85.3864,1.0,75,90,13.38,light snow
Lewiston,US,44.1003,-70.2148,-2.0,69,1,1.54,clear sky
Pleszew,PL,51.8964,17.7855,0.0,91,61,3.37,broken clouds
Manzhouli,CN,49.6,117.4333,-11.57,88,25,10.16,scattered clouds
Tuatapere,NZ,-46.1333,167.6833,18.52,58,63,3.19,broken clouds
Gizo,SB,-8.103,156.8419,29.43,72,25,4.63,moderate rain
Pevek,RU,69.7008,170.3133,-25.81,81,81,0.59,broken clouds
Grindavik,IS,63.8424,-22.4338,3.0,81,75,11.32,broken clouds
Khandyga,RU,62.6667,135.6,-39.11,78,98,0.55,overcast clouds
Vallenar,CL,-28.5708,-70.7581,17.89,64,76,1.3,broken clouds
Ulaangom,MN,49.9811,92.0667,-17.89,88,37,0.57,scattered clouds
Mahebourg,MU,-20.4081,57.7,25.0,83,40,1.03,scattered clouds
Khatanga,RU,71.9667,102.5,-34.96,77,0,3.64,clear sky
Menongue,AO,-14.6585,17.691,15.88,83,23,1.83,few clouds
Arlit,NE,18.7369,7.3853,15.75,29,64,2.82,broken clouds
Airai,TL,-8.9266,125.4092,18.18,100,100,1.55,overcast clouds
Sistranda,NO,63.7256,8.834,-10.0,92,20,3.6,few clouds
Omama,JP,36.4333,139.2833,9.44,27,0,4.92,clear sky
Broome,US,42.2506,-75.833,-1.0,59,1,2.06,clear sky
Emporia,US,38.4039,-96.1817,-4.0,74,1,3.6,clear sky
Ilulissat,GL,69.2167,-51.1,-16.0,39,40,10.29,scattered clouds
Somerset West,ZA,-34.084,18.8211,18.0,88,0,4.63,clear sky
Maniitsoq,GL,65.4167,-52.9,-9.68,72,100,1.59,overcast clouds
Pisco,PE,-13.7,-76.2167,22.22,78,0,5.14,clear sky
Myitkyina,MM,25.3833,97.4,23.9,30,0,1.26,clear sky
Granadilla De Abona,ES,28.1188,-16.576,16.0,39,20,5.66,few clouds
Baiyin,CN,36.5583,104.2081,-1.0,29,0,3.0,clear sky
Elblag,PL,54.1522,19.4088,-6.67,92,20,1.03,few clouds
Mosquera,CO,4.7059,-74.2302,11.0,82,40,1.54,scattered clouds
Kapit,MY,2.0167,112.9333,30.05,65,100,1.14,overcast clouds
Nichinan,JP,31.6,131.3667,13.0,44,75,2.57,broken clouds
Kabakovo,RU,54.5369,56.1517,1.0,100,90,5.0,light snow
High Level,CA,58.5169,-117.136,-29.0,76,1,2.06,clear sky
Saint-Michel-Des-Saints,CA,46.6834,-73.9159,-8.98,95,0,0.54,clear sky
Mendi,PG,-6.1761,143.6513,17.86,94,89,1.74,overcast clouds
Alyangula,AU,-13.8483,136.4192,25.0,100,90,4.12,heavy intensity rain
Douglas,US,41.3,-96.167,-4.0,63,40,3.09,scattered clouds
Narsaq,GL,60.9167,-46.05,-9.0,38,21,1.54,few clouds
Te Anau,NZ,-45.4167,167.7167,24.27,39,63,1.21,broken clouds
Yamethin,MM,20.4333,96.15,30.24,26,0,0.63,clear sky
Seka,TH,17.9285,103.9552,28.89,40,0,1.78,clear sky
Ennis,IE,52.8436,-8.9864,5.0,81,75,4.12,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,14.0,62,90,4.63,overcast clouds
Yulara,AU,-25.2406,130.9889,20.0,68,90,6.17,overcast clouds
Yuzhou,CN,34.1628,113.4639,16.0,13,0,6.0,clear sky
Pulaski,US,34.7668,-92.3001,6.67,70,1,3.6,clear sky
Lampazos De Naranjo,MX,27.0167,-100.5167,22.2,41,0,2.06,clear sky
Sitka,US,57.0531,-135.33,4.0,70,20,5.66,few clouds
Leningradskiy,RU,69.3833,178.4167,-32.16,85,100,5.05,overcast clouds
Korla,CN,41.7597,86.1469,-0.26,75,7,2.9,clear sky
Flers,FR,48.7372,-0.5747,7.0,93,90,3.09,overcast clouds
Marienburg,PL,54.0359,19.0266,-6.67,100,84,2.02,broken clouds
Jatara,IN,25.0167,79.05,19.44,47,54,3.79,broken clouds
Husavik,IS,66.0449,-17.3389,-3.0,68,0,7.2,clear sky
Omboue,GA,-1.5746,9.2618,25.48,88,89,2.11,overcast clouds
Umm Lajj,SA,25.0213,37.2685,19.99,52,7,2.5,clear sky
Qaqortoq,GL,60.7167,-46.0333,-9.0,38,74,1.54,broken clouds
North Vernon,US,39.0062,-85.6236,1.11,79,100,4.92,snow
Kota Kinabalu,MY,5.9749,116.0724,30.0,74,20,2.06,few clouds
Gorno-Altaysk,RU,51.9561,85.955,-3.59,97,100,0.38,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,27.78,83,40,1.03,light rain
Hamilton,US,39.1834,-84.5333,3.33,93,90,5.14,light rain
Wakkanai,JP,45.4094,141.6739,-8.0,67,75,10.8,snow
Bonanza,NI,14.0289,-84.591,17.53,93,16,0.9,few clouds
Labuhan,ID,-6.8844,112.2051,28.08,79,80,7.58,broken clouds
Banjar,ID,-8.19,114.9675,29.0,84,20,4.12,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,17.78,77,40,3.09,mist
Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,23.4,91,46,1.25,scattered clouds
Makat,KZ,47.6469,53.3463,2.47,85,90,4.22,overcast clouds
Filingue,NE,14.3521,3.3168,20.59,22,0,4.8,clear sky
Chalatenango,SV,14.0333,-88.9333,23.0,73,0,1.03,clear sky
Provideniya,RU,64.3833,-173.3,-20.38,88,100,12.28,light snow
Norsup,VU,-16.0667,167.3833,29.44,64,99,3.29,overcast clouds
Sulangan,PH,11.1373,123.7228,27.43,80,38,4.76,scattered clouds
Vestmannaeyjar,IS,63.4427,-20.2734,4.32,73,100,13.93,overcast clouds
Huarmey,PE,-10.0681,-78.1522,21.24,75,88,1.04,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,22.93,82,2,1.23,clear sky
East London,ZA,-33.0153,27.9116,20.0,100,40,0.51,mist
Rundu,NA,-17.9333,19.7667,18.76,71,28,0.98,scattered clouds
Hobyo,SO,5.3505,48.5268,24.7,77,46,7.61,scattered clouds
Iwanai,JP,42.9744,140.5089,-5.08,89,100,8.63,light snow
Clovis,US,36.8252,-119.7029,12.0,58,20,1.54,few clouds
Longyearbyen,SJ,78.2186,15.6401,-7.0,68,75,5.66,broken clouds
Rafaela,AR,-31.2503,-61.4867,20.56,56,0,0.45,clear sky
Kinshasa,CD,-4.3246,15.3215,24.0,83,20,1.13,light rain
Karlstad,SE,59.3793,13.5036,-14.0,92,7,3.6,clear sky
Puerto Escondido,MX,15.85,-97.0667,26.0,83,40,1.55,scattered clouds
Lata,PT,40.1629,-8.3327,10.0,86,100,0.45,overcast clouds
Pascagoula,US,30.3658,-88.5561,18.0,72,90,2.57,overcast clouds
Salalah,OM,17.0151,54.0924,21.0,73,40,2.06,scattered clouds
Kahului,US,20.8947,-156.47,22.0,60,90,5.66,overcast clouds
Novikovo,RU,51.1537,37.8879,1.48,95,100,6.41,snow
Dubbo,AU,-32.25,148.6167,31.0,40,75,9.77,broken clouds
Yining,CN,29.0361,114.5636,11.25,91,100,0.57,overcast clouds
Mahanje,TZ,-9.9333,35.3333,17.57,95,60,0.93,broken clouds
Gat,IL,31.61,34.7642,13.33,100,100,1.69,overcast clouds
Mehamn,NO,71.0357,27.8492,-2.75,91,100,5.91,overcast clouds
Onokhoy,RU,51.932,108.0747,-15.0,85,40,7.08,light snow
Uyskoye,RU,54.3775,60.0047,1.52,97,100,2.86,overcast clouds
Utrecht,NL,52.0,5.25,6.11,93,100,2.68,overcast clouds
Bosaso,SO,11.2842,49.1816,21.55,66,3,2.37,clear sky
Ancud,CL,-41.8697,-73.8203,20.0,49,0,3.09,clear sky
Dukat,RU,62.55,155.55,-28.86,85,100,1.86,overcast clouds
Marabba,SD,12.35,32.1833,18.07,28,0,5.79,clear sky
Ballinrobe,IE,53.6333,-9.2333,5.56,3,77,1.79,broken clouds
Tabory,RU,58.5198,64.5495,-11.29,97,99,1.77,overcast clouds
Fukue,JP,32.6881,128.8419,11.0,58,75,2.06,light rain
Taranagar,IN,28.6709,75.0351,15.12,63,0,1.75,clear sky
Mujiayingzi,CN,42.1167,118.7833,-0.22,90,49,4.95,scattered clouds
Champerico,GT,14.3,-91.9167,17.78,94,14,1.79,few clouds
Vardo,NO,70.3705,31.1107,-8.0,79,40,6.17,scattered clouds
Tura,IN,25.5198,90.2201,24.63,38,0,0.46,clear sky
Honiara,SB,-9.4333,159.95,29.3,70,5,3.24,clear sky
Namtsy,RU,62.7161,129.6658,-41.0,66,90,1.0,fog
Tiznit,MA,29.5833,-9.5,11.38,61,86,1.54,overcast clouds
Richards Bay,ZA,-28.783,32.0377,23.17,89,82,3.4,broken clouds
Victor Harbor,AU,-35.5667,138.6167,17.22,86,100,1.34,moderate rain
Necochea,AR,-38.5473,-58.7368,13.98,83,0,1.69,clear sky
Mao,ES,39.8885,4.2658,12.0,94,90,3.6,fog
Idenao,CM,4.2475,9.0047,25.0,88,20,1.54,few clouds
Nicoya,CR,10.1483,-85.452,25.0,69,0,5.66,clear sky
Atasu,KZ,48.6814,71.6433,-7.77,95,66,3.32,broken clouds
Bridgetown,BB,13.1,-59.6167,26.0,65,40,8.23,scattered clouds
Benghazi,LY,32.1167,20.0667,15.0,75,3,1.67,clear sky
Port Augusta,AU,-32.5,137.7667,24.0,41,90,10.8,overcast clouds
Kieta,PG,-6.2167,155.6333,29.65,70,4,2.38,light rain
Lebu,CL,-37.6167,-73.65,15.64,80,0,1.73,clear sky
Kavali,IN,14.9167,79.9833,25.84,50,0,2.3,clear sky
Cayenne,GF,4.9333,-52.3333,26.0,83,90,3.09,overcast clouds
Pirganj,BD,25.8523,88.3618,24.08,32,0,2.32,clear sky
Tautira,PF,-17.7333,-149.15,27.78,65,31,0.89,scattered clouds
Clyde River,CA,70.4692,-68.5914,-30.0,76,90,8.75,haze
Kamenka,RU,51.3223,42.7678,3.89,98,100,5.6,moderate rain
Dunedin,NZ,-45.8742,170.5036,13.33,70,67,11.62,broken clouds
Talnakh,RU,69.4865,88.3972,-30.85,85,99,0.52,overcast clouds
